13Li	13.0611715	0.00007515	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
13Be	13.03613451	0.000010929	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
13B	13.01777998	0.000001073	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
13C	13.00335484	2.5E-10	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
13N	13.00573861	0.000000289	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
13O	13.02481544	0.000010226	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
13F	13.045121	0.000537	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
14Be	14.04289292	0.00014197	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
14B	14.02540401	0.000022773	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
14C	14.00324199	4.03E-09	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
14N	14.003074	2.4E-10	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
14O	14.00859671	0.000000027	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
14F	14.0343152	0.000044142	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
15Be	15.05349022	0.00017799	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
15B	15.03108702	0.000022575	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
15C	15.01059926	0.000000858	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
15N	15.0001089	6.2E-10	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
15O	15.00306564	0.000000526	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
15F	15.01778514	0.000015029	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
15Ne	15.04317298	0.000071588	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
16Be	16.06167204	0.00017799	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
16B	16.03984105	0.000026373	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
16C	16.01470126	0.00000384	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
16N	16.00610193	0.00000247	<a href='https://doi.org/10.1088/1674-1137/abddaf' target='_blank'>2020</a>
